package_id,item_id,user__id,user__feedback,data__image,data__item_id,data__title,data__category_breadcrumbs,annotation__output,annotation__time,reference__output,feedback__output,test_group
489,72178,773,False,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",0.0,0 days 00:00:05.622616000,50.0,,high quality feedback
489,72178,812,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",200.0,0 days 00:00:07.095676000,50.0,50.0,high quality feedback
738,73000,536,False,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",50.0,0 days 00:00:15.432081000,50.0,,high quality feedback
738,73000,570,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",500.0,0 days 00:00:57.960899000,50.0,50.0,high quality feedback
738,73000,1134,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",50.0,0 days 00:00:08.043604000,50.0,50.0,high quality feedback
744,72450,579,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",500.0,0 days 00:00:06.794667000,50.0,50.0,high quality feedback
744,72450,750,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",50.0,0 days 00:00:41.254901000,50.0,50.0,high quality feedback
744,72450,853,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",85.0,0 days 00:00:04.812890000,50.0,50.0,high quality feedback
744,72861,579,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",560.0,0 days 00:00:08.695535000,50.0,50.0,high quality feedback
744,72861,750,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",200.0,0 days 00:00:15.029554000,50.0,50.0,high quality feedback
744,72861,853,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",6.0,0 days 00:00:04.197044000,50.0,50.0,high quality feedback
500,72197,580,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",50.0,0 days 00:00:05.581323000,50.0,50.0,high quality feedback
500,72197,638,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",100.0,0 days 00:00:07.543238000,50.0,50.0,high quality feedback
500,72197,673,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",50.0,0 days 00:00:03.984669000,50.0,50.0,high quality feedback
500,72197,794,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",250.0,0 days 00:00:16.745390000,50.0,50.0,high quality feedback
500,73399,580,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",500.0,0 days 00:00:05.497549000,50.0,50.0,high quality feedback
500,73399,638,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",70.0,0 days 00:00:15.432371000,50.0,50.0,high quality feedback
500,73399,673,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",1500.0,0 days 00:00:33.361000000,50.0,50.0,high quality feedback
